Work Class Code;Work Class Description;Work Discipline Code;UoM;Record Status
13111;PIPING PREFABRICATION - LARGE BORE;1300P;;Active
13112;PIPING PREFABRICATION - LARGE BORE (PIPERACK);1300P;;Active
13113;PIPING PREFABRICATION - LARGE BORE (SLEEPER);1300P;;Active
13114;PIPING PREFABRICATION - LARGE BORE (AROUND EQUIPMENT);1300P;;Active
13115;PIPING PREFABRICATION - VERY LARGE BORE (PIPERACK);1300P;;Active
13116;PIPING PREFABRICATION - VERY LARGE BORE (SLEEPER);1300P;;Active
13117;PIPING PREFABRICATION - VERY LARGE BORE (AROUND EQUIPMENT);1300P;;Active
13121;PIPING PREFABRICATION - SMALL BORE;1300P;;Active
13211;PIPING ERECTION- LARGE BORE;1300E;;Active
13212;PIPING ERECTION - LARGE BORE (PIPERACK);1300E;;Active
13213;PIPING ERECTION - LARGE BORE (SLEEPER);1300E;;Active
13214;PIPING ERECTION - LARGE BORE (AROUND EQUIPMENT);1300E;;Active
13215;PIPING ERECTION - VERY LARGE BORE (PIPERACK);1300E;;Active
13216;PIPING ERECTION - VERY LARGE BORE (SLEEPER);1300E;;Active
13217;PIPING ERECTION - VERY LARGE BORE (AROUND EQUIPMENT);1300E;;Active
13221;PIPING ERECTION - SMALL BORE;1300E;;Active
13222;PIPING ERECTION - SMALL BORE (PIPERACK);1300E;;Active
13223;PIPING ERECTION - SMALL BORE (SLEEPER);1300E;;Active
13224;PIPING ERECTION - SMALL BORE (AROUND EQUIPMENT);1300E;;Active
13231;STEAM TRACING INSTALLATION;1300E;;Active
13232;STEAM TRACING-CARBON STEEL SMALL BORE;1300E;;Active
13241;INLINE ITEMS ERECTION;1300E;;Active
13281;PIPING SUPPORTS ERECTION;1300E;;Active
13611;PIPING DISMANTLING;1300E;;Active
13711;PIPING TIE-INS PREFABRICATION;1300P;;Active
13721;PIPING TIE-INS EXECUTION;1300E;;Active
13811;PIPING SUPPORTS PREFABRICATION;1300P;;Active
13901;HYDROTEST;1300E;;Active
14211;FENCING;1400;;Active
14231;GRAVEL FINISHING;1400;;Active
14241;SOIL SURFACE FINISHING;1400;;Active
14411;GENERAL EXCAVATION;1400;;Active
14421;GENERAL EMBANKMENT;1400;;Active
14431;SOIL SCRUBBING;1400;;Active
14441;EARTH DYKES;1400;;Active
14451;SOIL IMPROVEMENT;1400;;Active
14452;EARTH PONDS;1400;;Active
14461;EARTH AND SAND TRENCHES;1400;;Active
14471;EARTH TANK PADS;1400;;Active
14511;ROADS & YARDS;1400;;Active
14711;TRENCH/BACKFILL. FOR U/G GRAVITY PIPE;1400;;Active
14721;TRENCH/BACKFILL. FOR U/G PRESS. PIPE;1400;;Active
14731;UNDERGROUND PRESSURE PIPING (CARBON STEEL);1400;;Active
14741;CARBON STEEL SEWERS;1400;;Active
14751;CONCRETE SEWERS;1400;;Active
14781;PLASTIC, GRP SEWERS;1400;;Active
14791;UNDERGROUND PRESSURE PIPING (PLASTIC, GRP, OTHERS);1400;;Active
14792;U/G PRESSURE PIPING PREFABRICATION (PLASTIC, GRP, OTHERS);1400;;Active
14793;U/G HYDROTEST (NON-METALLIC);1400;;Active
14811;TREES REMOVAL;1400;;Active
14911;DEMOLITION / DISMANTLING;1400;;Active
15101;WORKS IN CONTROL ROOM;1500;;Active
15111;WORKS IN CONTROL ROOM- CABLE TRAYS;1500;;Active
15121;WORKS IN CONTROL ROOM- CABLES& MULTICABLES;1500;;Active
15131;WORKS IN CONTROL ROOM - CABLES CONNECTIONS;1500;;Active
15211;INSTRUMENT CABLES WAYS;1500;;Active
15221;INSTRUMENT CABLES;1500;;Active
15231;INSTRUMENT CABLES - CONNECTIONS;1500;;Active
15241;JUNCTION BOX AND LOC. PANELS INSTALLATION;1500;;Active
15251;FIBER OPTIC;1500;;Active
15261;FIBER OPTIC CONNECTION & TEST;1500;;Active
15311;FIELD INSTRUMENTATION WORKS;1500;;Active
15351;FIELD ON-LINE INSTRUMENTATION WORKS;1500;;Active
15601;ANALYZERS INSTALLATION;1500;;Active
15701;TELECOMMUNICATION SYSTEMS INSTALLATION WORKS;1500;;Active
16101;GROUNDING AND LIGHTNING SYSTEM;1600;;Active
16211;TRANSFORMERS INSTALLATION;1600;;Active
16221;SUBSTATION EQUIPMENT;1600;;Active
16231;ELECTRIC EQUIPMENT;1600;;Active
16241;SUBSTATION CABLE TRAYS INSTALLATION;1600;;Active
16251;SUBSTATION INTERCON CABLES LAYING;1600;;Active
16261;SUBSTATION INTERCON CABLES CONNECTIONS;1600;;Active
16311;POWER SYSTEM - CABLE WAYS;1600;;Active
16321;POWER SYSTEM - CABLES;1600;;Active
16331;POWER SYSTEM - CABLES CONNECTIONS;1600;;Active
16341;POWER SYSTEM (PANELS, JUNCTION BOXES);1600;;Active
16401;HIGH VOLTAGE EQUIPMENT;1600;;Active
16501;ELECTRICAL HEAT TRACING SYSTEM;1600;;Active
16701;CATHODIC PROTECTION SYSTEM;1600;;Active
16801;LIGHTING SYSTEM;1600;;Active
17111;FOUNDATIONS (EQUIPMENT);1700;;Active
17112;FOUNDATIONS             (PIPE RACK);1700;;Active
17113;FOUNDATIONS             (STRUCTURE);1700;;Active
17114;TANK RINGS/ CONCRETE PADS;1700;;Active
17115;CONCRETE FOUNDATIONS FOR SECONDARY SUPPORTS & PLATFORMS;1700;;Active
17121;ELEVATION CONCRETE;1700;;Active
17131;CONCRETE PAVING;1700;;Active
17141;CABLES TRENCHES;1700;;Active
17142;PITS, MANHOLES AND CATCH BASINS;1700;;Active
17143;DUCT BANKS;1700;;Active
17144;CONCRETE DITCHES;1700;;Active
17145;PULLING PITS;1700;;Active
17146;CONCRETE TRENCHES FOR U/G PIPING;1700;;Active
17147;CONCRETE BOX CULVERTS;1700;;Active
17151;SLEEPERS;1700;;Active
17171;COOLING TOWERS / PROCESS BASIN FOUNDATION;1700;;Active
17172;COOLING TOWERS / PROCESS BASIN ELEVATION;1700;;Active
17174;CONCRETE WALLS;1700;;Active
17311;PRECAST PIPERACK PREFABRICATION;1700;;Active
17313;PRECAST PIPERACK ERECTION;1700;;Active
17321;PRECAST STRUCTURES PREFABRICATION;1700;;Active
17323;PRECAST STRUCTURES ERECTION;1700;;Active
17411;FIRE PROOFING FOR EQUIPMENT;1700;;Active
17412;FIRE PROOFING FOR STRUCTURES;1700;;Active
17641;GROUTING;1700;;Active
18112;PROCESS STRUCTURES ERECTION;1800;;Active
18113;PIPE RACKS ERECTION;1800;;Active
18114;STEEL FRAMES ON CONCRETE STRUCTURES;1800;;Active
18115;ISOLATED SUPPORTS;1800;;Active
18211;LADDERS AND HANDRAILS;1800;;Active
18212;GRATINGS & CHECKERED PLATES;1800;;Active
18214;PLATFORMS AND WALKWAYS ON EQUIPMENT;1800;;Active
18217;ISOLATED PLATFORMS;1800;;Active
18311;SHELTERS;1800;;Active
18811;SIDING AND ROOFING;1800;;Active
18911;STEEL STRUCTURES REVAMPING;1800;;Active
20111;CONCRETE FOUNDATIONS;2000;;Active
20115;CONCRETE STRUCTURE ELEVATIONS;2000;;Active
20401;CURTAIN AND PARTITION WALLS;2000;;Active
20402;DOORS AND WINDOWS;2000;;Active
20403;FLOORING;2000;;Active
20404;CEILING;2000;;Active
20405;CERAMIC AND QUARY TILING;2000;;Active
20406;PLUMBING;2000;;Active
20407;CURTAIN WALL EXTERNAL PAINTING;2000;;Active
20408;ROOF INSULATION AND WATER TIGHTNESS;2000;;Active
20411;HVAC SYSTEM;2000;;Active
20421;POWER AND LIGHTING;2000;;Active
20422;LIGHTNING SYSTEM;2000;;Active
20431;BUILDING ELEVATORS;2000;;Active
20441;COMMUNICATION/SECURITY SYSTEMS;2000;;Active
20451;FIRE DETECTION;2000;;Active
20452;FIRE FIGHTING SYSTEM (IN-DOOR);2000;;Active
20461;TRANSFORMER YARDS;2000;;Active
20471;STEEL WORKS;2000;;Active
20472;SIDING AND ROOFING;2000;;Active
20473;FIRE RATED PANELS INSTALLATION;2000;;Active
20481;BRIDGE CRANE;2000;;Active
20501;FURNITURES;2000;;Active
22111;EQUIPMENT INSULATION;2200;;Active
22211;PIPING INSULATION;2200;;Active
23212;PIPING PAINTING IN SHOP (AROUND EQUIPMENT L.BORE);2300;;Active
23231;PIPING PAINTING IN FIELD (TOUCH UP);2300;;Active
23311;PIPING COATING AND WRAPPING;2300;;Active
23411;EQUIPMENT PAINTING;2300;;Active
25201;STEEL TANKS;2500;;Active
68211;VERTICAL AND HORIZONTAL VESSELS/EXCHANGERS;6800;;Active
68311;PRE-ASSEMBLED FURNACES;6800;;Active
68312;PARTIALLY PRE-ASS. FURNACES;6800;;Active
68322;PARTIALLY PRE-ASS. BOILERS AND HRSG;6800;;Active
68334;DERRICK SUPPORT DEMOUNTABLE FLARE;6800;;Active
68521;FANS & BLOWERS;6800;;Active
68522;HORIZONTAL/VERTICAL PUMPS AND DRIVE;6800;;Active
68524;RECIPROCATING COMPRESSORS AND DRIVE;6800;;Active
68525;CENTRIFUGAL COMPRESSORS AND DRIVE;6800;;Active
68526;MIXERS AND AGITATORS;6800;;Active
68611;TRAYS & INTERNALS INSTALLATION;6800;;Active
68711;AIR COOLERS ERECTION;6800;;Active
68721;COOLING TOWERS ERECTION;6800;;Active
68811;SKID MOUNTED PACKAGES & MISC.;6800;;Active
68821;BRIDGE CRANE / MONORAIL;6800;;Active
68831;PACKAGES INSTALLATION;6800;;Active
