Discipline Code;Work Discipline Code;Work Class Code;Sub Work Class Code;Sub Work Class Description;Pos;Work Step Description;Step Reference;Commodity Group Name;UoM;QCF Code;Subcon. Attnd.;Con. Attnd.;Client Attnd.;ThirdParty Attnd.;Weight;Summary QCF;Gate;Key Quantity Step;Can Manually Progress;Record Status
13;1300P;13111;13111-A;LB PIPING (>= 2 INCH) PREFABRICATION;1;ASSEMBLY & FIT-UP;Ref.1;;;;;;;;25;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13111;13111-A;LB PIPING (>= 2 INCH) PREFABRICATION;2;WELDING EXECUTION;Ref.2;;KG/DI;;;;;;50;FALSE;FALSE;TRUE;TRUE;Active
13;1300P;13111;13111-A;LB PIPING (>= 2 INCH) PREFABRICATION;3;NDE/PMI/PWHT/HT EXECUTION;Ref.3;;;;;;;;20;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13111;13111-A;LB PIPING (>= 2 INCH) PREFABRICATION;4;FINAL DOCUMENTATION/ RELEASE FOR PAINTING;Ref.4;;;;X;W;S;;5;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13111;13111-A1-ACC;LB PIPING (>= 2 INCH) PREFABRICATION METALLIC;1;MATERIAL AVAILABILITY(SHOP);Ref.1;;;;;;;;20;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13111;13111-A1-ACC;LB PIPING (>= 2 INCH) PREFABRICATION METALLIC;2;ASSEMBLY & FIT-UP;Ref.2;;;;;;;;30;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13111;13111-A1-ACC;LB PIPING (>= 2 INCH) PREFABRICATION METALLIC;3;WELDING EXECUTION;Ref.3;;DIA/INCH;;;;;;40;FALSE;FALSE;TRUE;TRUE;Active
13;1300P;13111;13111-A1-ACC;LB PIPING (>= 2 INCH) PREFABRICATION METALLIC;4;NDE/PMI/PWHT/HT EXECUTION;Ref.4;;;;;;;;5;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13111;13111-A1-ACC;LB PIPING (>= 2 INCH) PREFABRICATION METALLIC;5;DELIVERY PROGRESS(Site);Ref.5;;;;;;;;5;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13111;13111-A2-ACC;LB PIPING (>= 2 INCH) PREFABRICATION NON METALLIC;2;ASSEMBLY & FIT-UP;Ref.2;;;;;;;;30;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13111;13111-A2-ACC;LB PIPING (>= 2 INCH) PREFABRICATION NON METALLIC;3;LAMINATION;Ref.3;;INCH METER;;;;;;60;FALSE;FALSE;TRUE;TRUE;Active
13;1300P;13111;13111-A2-ACC;LB PIPING (>= 2 INCH) PREFABRICATION NON METALLIC;4;PIPE TEST CERTIFICATE AND RELEASE;Ref.4;;;;;;;;10;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13112;13112-PR;LB PIPING (>= 2 INCH) PREFABRICATION - (PIPERACK);1;ASSEMBLY & FIT-UP;Ref.1;;;;;;;;25;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13112;13112-PR;LB PIPING (>= 2 INCH) PREFABRICATION - (PIPERACK);2;WELDING EXECUTION;Ref.2;;KG/DI;;;;;;50;FALSE;FALSE;TRUE;TRUE;Active
13;1300P;13112;13112-PR;LB PIPING (>= 2 INCH) PREFABRICATION - (PIPERACK);3;NDE/PMI/PWHT/HT EXECUTION;Ref.3;;;;;;;;20;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13112;13112-PR;LB PIPING (>= 2 INCH) PREFABRICATION - (PIPERACK);4;FINAL DOCUMENTATION/ RELEASE FOR PAINTING;Ref.4;;;;X;W;S;;5;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13113;13113-SL;LB PIPING (>= 2 INCH) PREFABRICATION - (SLEEPER);1;ASSEMBLY & FIT-UP;Ref.1;;;;;;;;25;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13113;13113-SL;LB PIPING (>= 2 INCH) PREFABRICATION - (SLEEPER);2;WELDING EXECUTION;Ref.2;;KG/DI;;;;;;50;FALSE;FALSE;TRUE;TRUE;Active
13;1300P;13113;13113-SL;LB PIPING (>= 2 INCH) PREFABRICATION - (SLEEPER);3;NDE/PMI/PWHT/HT EXECUTION;Ref.3;;;;;;;;20;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13113;13113-SL;LB PIPING (>= 2 INCH) PREFABRICATION - (SLEEPER);4;FINAL DOCUMENTATION/ RELEASE FOR PAINTING;Ref.4;;;;X;W;S;;5;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13114;13114-AE;LB PIPING (>= 2 INCH) PREFABRICATION - (AROUND EQUIPMENT);1;ASSEMBLY & FIT-UP;Ref.1;;;;;;;;25;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13114;13114-AE;LB PIPING (>= 2 INCH) PREFABRICATION - (AROUND EQUIPMENT);2;WELDING EXECUTION;Ref.2;;KG/DI;;;;;;50;FALSE;FALSE;TRUE;TRUE;Active
13;1300P;13114;13114-AE;LB PIPING (>= 2 INCH) PREFABRICATION - (AROUND EQUIPMENT);3;NDE/PMI/PWHT/HT EXECUTION;Ref.3;;;;;;;;20;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13114;13114-AE;LB PIPING (>= 2 INCH) PREFABRICATION - (AROUND EQUIPMENT);4;FINAL DOCUMENTATION/ RELEASE FOR PAINTING;Ref.4;;;;X;W;S;;5;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13115;13115-PR;LB PIPING (>= 36 INCH) PREFABRICATION - (PIPERACK);1;ASSEMBLY & FIT-UP;Ref.1;;;;;;;;25;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13115;13115-PR;LB PIPING (>= 36 INCH) PREFABRICATION - (PIPERACK);2;WELDING EXECUTION;Ref.2;;KG/DI;;;;;;50;FALSE;FALSE;TRUE;TRUE;Active
13;1300P;13115;13115-PR;LB PIPING (>= 36 INCH) PREFABRICATION - (PIPERACK);3;NDE/PMI/PWHT/HT EXECUTION;Ref.3;;;;;;;;20;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13115;13115-PR;LB PIPING (>= 36 INCH) PREFABRICATION - (PIPERACK);4;FINAL DOCUMENTATION/ RELEASE FOR PAINTING;Ref.4;;;;X;W;S;;5;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13116;13116-SL;LB PIPING (>= 36 INCH) PREFABRICATION - (SLEEPER);1;ASSEMBLY & FIT-UP;Ref.1;;;;;;;;25;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13116;13116-SL;LB PIPING (>= 36 INCH) PREFABRICATION - (SLEEPER);2;WELDING EXECUTION;Ref.2;;KG/DI;;;;;;50;FALSE;FALSE;TRUE;TRUE;Active
13;1300P;13116;13116-SL;LB PIPING (>= 36 INCH) PREFABRICATION - (SLEEPER);3;NDE/PMI/PWHT/HT EXECUTION;Ref.3;;;;;;;;20;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13116;13116-SL;LB PIPING (>= 36 INCH) PREFABRICATION - (SLEEPER);4;FINAL DOCUMENTATION/ RELEASE FOR PAINTING;Ref.4;;;;X;W;S;;5;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13117;13117-AE;LB PIPING (>= 36 INCH) PREFABRICATION - (AROUND EQUIPMENT);1;ASSEMBLY & FIT-UP;Ref.1;;;;;;;;25;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13117;13117-AE;LB PIPING (>= 36 INCH) PREFABRICATION - (AROUND EQUIPMENT);2;WELDING EXECUTION;Ref.2;;KG/DI;;;;;;50;FALSE;FALSE;TRUE;TRUE;Active
13;1300P;13117;13117-AE;LB PIPING (>= 36 INCH) PREFABRICATION - (AROUND EQUIPMENT);3;NDE/PMI/PWHT/HT EXECUTION;Ref.3;;;;;;;;20;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13117;13117-AE;LB PIPING (>= 36 INCH) PREFABRICATION - (AROUND EQUIPMENT);4;FINAL DOCUMENTATION/ RELEASE FOR PAINTING;Ref.4;;;;X;W;S;;5;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13121;13121-A;SB PIPING (< 2 INCH) PREFABRICATION;1;ASSEMBLY & FIT-UP;Ref.1;;;;;;;;25;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13121;13121-A;SB PIPING (< 2 INCH) PREFABRICATION;2;WELDING EXECUTION;Ref.2;;KG/DI;;;;;;50;FALSE;FALSE;TRUE;TRUE;Active
13;1300P;13121;13121-A;SB PIPING (< 2 INCH) PREFABRICATION;3;NDE/PMI/PWHT/HT EXECUTION;Ref.3;;;;;;;;20;FALSE;FALSE;FALSE;TRUE;Active
13;1300P;13121;13121-A;SB PIPING (< 2 INCH) PREFABRICATION;4;FINAL DOCUMENTATION/ RELEASE FOR PAINTING;Ref.4;;;;X;W;S;;5;FALSE;FALSE;FALSE;TRUE;Active
13;1300E;13211;13211-A1;METALLIC PIPING >=2 INCH;1;MATERIAL DELIVERY;Ref.1;;;;;;;;15;FALSE;FALSE;FALSE;TRUE;Active
13;1300E;13211;13211-A1;METALLIC PIPING >=2 INCH;2;PIPE CLEANING;Ref.2;;;;;;;;10;FALSE;FALSE;FALSE;TRUE;Active
13;1300E;13211;13211-A1;METALLIC PIPING >=2 INCH;3;PIPE LIFTING;Ref.3;;;;;;;;10;FALSE;FALSE;FALSE;TRUE;Active
13;1300E;13211;13211-A1;METALLIC PIPING >=2 INCH;4;FIT-UP;Ref.4;;;;;;;;20;FALSE;FALSE;FALSE;TRUE;Active
13;1300E;13211;13211-A1;METALLIC PIPING >=2 INCH;5;WELDING;Ref.5;;DIA/INCH;;;;;;20;FALSE;FALSE;TRUE;TRUE;Active
13;1300E;13211;13211-A1;METALLIC PIPING >=2 INCH;6;NDE;Ref.6;;;;;;;;10;FALSE;FALSE;FALSE;TRUE;Active
13;1300E;13211;13211-A1;METALLIC PIPING >=2 INCH;7;PIPING SUPPORT ERECTION;Ref.7;;;;;;;;5;FALSE;FALSE;FALSE;TRUE;Active
13;1300E;13211;13211-A1;METALLIC PIPING >=2 INCH;8;VALVE VERIFICATION;Ref.8;;;;;;;;5;FALSE;FALSE;FALSE;TRUE;Active
13;1300E;13211;13211-A1;METALLIC PIPING >=2 INCH;9;FINAL DOC. REVIEW;Ref.9;;;;X;W;S;;5;FALSE;FALSE;FALSE;FALSE;Active
13;1300E;13211;13211-A1-ACC;METALLIC PIPING >=2 INCH;1;MATERIAL DELIVERY;Ref.1;;;;;;;;10;FALSE;FALSE;FALSE;TRUE;Active
13;1300E;13211;13211-A1-ACC;METALLIC PIPING >=2 INCH;2;PIPE CLEANIING;Ref.2;;;;;;;;5;FALSE;FALSE;FALSE;TRUE;Active
13;1300E;13211;13211-A1-ACC;METALLIC PIPING >=2 INCH;3;PIPE LIFTING;Ref.3;;;;;;;;30;FALSE;FALSE;FALSE;TRUE;Active
13;1300E;13211;13211-A1-ACC;METALLIC PIPING >=2 INCH;4;FIT-UP;Ref.4;;;;;;;;20;FALSE;FALSE;FALSE;TRUE;Active
13;1300E;13211;13211-A1-ACC;METALLIC PIPING >=2 INCH;5;WELDING;Ref.5;;;;;;;;25;FALSE;FALSE;TRUE;TRUE;Active
13;1300E;13211;13211-A1-ACC;METALLIC PIPING >=2 INCH;6;NDE;Ref.6;;;;;;;;5;FALSE;FALSE;FALSE;TRUE;Active
13;1300E;13211;13211-A1-ACC;METALLIC PIPING >=2 INCH;7;FINAL DOC REVIEW;Ref.7;;;;X;W;S;;5;FALSE;FALSE;FALSE;TRUE;Active
13;1300E;13211;13211-A2;NON-METALLIC PIPING >=2 INCH;1;MATERIAL DELIVERY;Ref.1;;;;;;;;15;FALSE;FALSE;FALSE;TRUE;Active
13;1300E;13211;13211-A2;NON-METALLIC PIPING >=2 INCH;2;PIPE CLEANING;Ref.2;;;;;;;;15;FALSE;FALSE;FALSE;TRUE;Active
13;1300E;13211;13211-A2;NON-METALLIC PIPING >=2 INCH;3;PIPE LIFTING;Ref.3;;;;;;;;25;FALSE;FALSE;FALSE;TRUE;Active
